
original

	 30.20 	 93.17 	 2.82 	 14.15 	 68.68 	 84.71 	 51.29 
	 5.06 	 25.84 	 50.47 	 23.11 	 28.36 	 35.73 	 30.52 
	 89.54 	 5.84 	 74.02 	 81.26 	 20.51 	 88.05 	 42.41 
	 6.39 	 53.54 	 79.82 	 48.38 	 54.43 	 18.61 	 39.06 
	 71.43 	 20.15 	 56.60 	 0.76 	 12.46 	 59.29 	 14.79 
	 81.01 	 43.14 	 65.95 	 85.95 	 68.86 	 15.56 	 8.19 
	 97.09 	 51.17 	 38.59 	 85.77 	 56.88 	 11.75 	 66.16 
	 77.27 	 99.68 	 7.71 	 83.53 	 52.35 	 87.41 	 31.05 
	 5.91 	 5.15 	 69.98 	 77.22 	 25.18 	 25.72 	 77.85 
	 37.52 	 84.89 	 92.52 	 17.66 	 27.16 	 57.60 	 2.75 


z1
	97.09 	99.68 	92.52 	85.95 	68.86 	88.05 	77.85 
	89.54 	93.17 	79.82 	85.77 	68.68 	87.41 	66.16 
	81.01 	84.89 	74.02 	83.53 	56.88 	84.71 	51.29 
	77.27 	53.54 	69.98 	81.26 	54.43 	59.29 	42.41 
	71.43 	51.17 	65.95 	77.22 	52.35 	57.60 	39.06 
	37.52 	43.14 	56.60 	48.38 	28.36 	35.73 	31.05 
	30.20 	25.84 	50.47 	23.11 	27.16 	25.72 	30.52 
	6.39 	20.15 	38.59 	17.66 	25.18 	18.61 	14.79 
	5.91 	5.84 	7.71 	14.15 	20.51 	15.56 	8.19 
	5.06 	5.15 	2.82 	0.76 	12.46 	11.75 	2.75 


z2
	97.09 	99.68 	92.52 	85.95 	68.86 	88.05 	77.85 
	89.54 	93.17 	79.82 	85.77 	68.68 	87.41 	66.16 
	81.01 	84.89 	74.02 	83.53 	56.88 	84.71 	51.29 
	77.27 	53.54 	69.98 	81.26 	54.43 	59.29 	42.41 
	71.43 	51.17 	65.95 	77.22 	52.35 	57.60 	39.06 
	37.52 	43.14 	56.60 	48.38 	28.36 	35.73 	31.05 
	30.20 	25.84 	50.47 	23.11 	27.16 	25.72 	30.52 
	6.39 	20.15 	38.59 	17.66 	25.18 	18.61 	14.79 
	5.91 	5.84 	7.71 	14.15 	20.51 	15.56 	8.19 
	5.06 	5.15 	2.82 	0.76 	12.46 	11.75 	2.75 


